start_frame	hold_position	ramus_mandible	hyoid_burst	ues_closure	at_rest	end_frame																																		
2	2	8	12	15	20	20																																		
FrameNumber	Mandible_x	Mandible_y	Hard_Palate_x	Hard_Palate_y	C1_x	C1_y	C2_x	C2_y	C4_x	C4_y	UES_x	UES_y	PostCric_x	PostCric_y	AntCric_x	AntCric_y	Hyoid_x	Hyoid_y	Valleculae_x	Valleculae_y	Landmark_11_x	Landmark_11_y	Landmark_12_x	Landmark_12_y	Landmark_13_x	Landmark_13_y	Landmark_14_x	Landmark_14_y	Landmark_15_x	Landmark_15_y	Landmark_16_x	Landmark_16_y	Landmark_17_x	Landmark_17_y	Landmark_18_x	Landmark_18_y	Landmark_19_x	Landmark_19_y	Landmark_20_x	Landmark_20_y
11	270.003387451172	209.20329284668	328.74609375	69.0287475585938	417.103942871094	97.6584930419922	437.19233869545	183.707202468401	454.814750481071	260.070604617211	429.2409532934	249.428016721823	420.222608827816	272.434203060351	390.851922518449	294.252317960011	351.691007439293	224.4343502811	401.94751512421	212.070751837959	421.008172094374	170.499293033698	430.915649112903	211.400161329403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	269.327087402344	208.769348144531	328.120819091797	68.9463653564453	416.660308837891	97.8732604980469	437.19233869545	183.707202468401	454.814750481071	260.070604617211	428.736785823818	247.160817197837	414.348471565943	265.161498093798	386.935831010533	287.706883490113	347.774915931377	221.525268294478	398.031423616294	209.161669851338	421.008172094374	170.499293033698	428.934153709197	207.169037022951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	268.834747314453	208.563278198242	327.894775390625	68.8919525146484	416.049621582031	97.9744415283203	437.19233869545	183.707202468401	454.814750481071	259.343334120555	427.224283415072	243.274189442432	412.390425811985	262.979686603832	383.019739502618	281.888719516871	343.858824423462	220.797997797823	392.809968272407	210.616210844648	421.008172094374	170.499293033698	427.613156773393	202.937912716499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	268.687072753906	208.353012084961	327.797821044922	68.8739929199219	416.019348144531	98.0156326293945	435.234292941493	184.434472965056	454.814750481071	259.343334120555	428.232618354236	242.950303796148	406.516288550111	259.343334120555	378.450966076716	275.343285046972	341.248096751518	220.070727301168	388.893876764491	210.616210844648	421.008172094374	170.499293033698	428.934153709197	198.706788410046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	268.593353271484	208.307922363281	327.907745361328	69.0705413818359	416.095550537109	97.8901519775391	435.234292941493	184.434472965056	452.856704727113	259.343334120555	428.232618354236	242.626418149865	404.558242796154	257.161522630589	373.882192650815	271.706932563696	337.984687161588	220.070727301168	390.199240600463	211.343481341304	421.008172094374	170.499293033698	427.613156773393	195.180851488003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	268.517425537109	208.340087890625	327.705902099609	69.152099609375	415.973999023438	97.8759307861328	435.234292941493	184.434472965056	452.856704727113	259.343334120555	427.728450884654	242.950303796148	400.642151288238	254.252440643968	370.618783060885	270.979662067041	336.02664140763	220.070727301168	392.809968272407	211.343481341304	421.008172094374	170.499293033698	427.613156773393	194.475664103594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	268.379852294922	208.262741088867	327.528717041016	69.2895812988281	415.958282470703	97.8031387329102	435.234292941493	184.434472965056	452.856704727113	259.343334120555	427.224283415072	242.950303796148	400.642151288238	254.252440643968	370.618783060885	270.979662067041	334.721277571659	220.070727301168	398.031423616294	210.616210844648	421.008172094374	170.499293033698	427.613156773393	194.475664103594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	268.266235351562	208.349380493164	327.581268310547	69.1375274658203	415.708923339844	97.6836624145508	435.234292941493	184.434472965056	452.856704727113	259.343334120555	427.224283415072	242.950303796148	400.642151288238	254.252440643968	370.618783060885	270.979662067041	334.721277571659	220.070727301168	397.890725717806	211.400161329403	419.68717515857	171.204480418107	427.613156773393	194.475664103594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	268.296417236328	208.267990112305	327.497528076172	69.1811828613281	415.745361328125	97.9902114868164	435.234292941493	184.434472965056	452.856704727113	259.343334120555	427.224283415072	242.950303796148	400.642151288238	254.252440643968	370.618783060885	270.979662067041	333.415913735687	220.070727301168	405.816707332629	212.105348713812	419.68717515857	171.204480418107	425.631661369687	194.475664103594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	268.272521972656	208.228530883789	327.432739257812	69.1391143798828	415.712615966797	97.9051895141602	435.234292941493	184.434472965056	452.856704727113	259.343334120555	427.224283415072	242.950303796148	400.642151288238	254.252440643968	370.618783060885	270.979662067041	333.415913735687	220.070727301168	411.761193543747	212.105348713812	419.68717515857	171.204480418107	423.650165965982	194.475664103594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
