start_frame	hold_position	ramus_mandible	hyoid_burst	ues_closure	at_rest	end_frame																																		
																																								
FrameNumber	Mandible_x	Mandible_y	Hard_Palate_x	Hard_Palate_y	C1_x	C1_y	C2_x	C2_y	C4_x	C4_y	UES_x	UES_y	PostCric_x	PostCric_y	AntCric_x	AntCric_y	Hyoid_x	Hyoid_y	Valleculae_x	Valleculae_y	Landmark_11_x	Landmark_11_y	Landmark_12_x	Landmark_12_y	Landmark_13_x	Landmark_13_y	Landmark_14_x	Landmark_14_y	Landmark_15_x	Landmark_15_y	Landmark_16_x	Landmark_16_y	Landmark_17_x	Landmark_17_y	Landmark_18_x	Landmark_18_y	Landmark_19_x	Landmark_19_y	Landmark_20_x	Landmark_20_y
11	270.201843261719	270.454620361328	338.220428466797	402.009826660156	417.502960205078	375.726181030273	434.164398193359	289.77067565918	447.97820051079	215.003024159538	427.518381105662	222.695308258777	421.058532714844	194.910522460938	388.588287353516	171.973785400391	366.820916870449	247.870056219923	400.238621898825	264.653221527354	416.299524920223	305.175486272554	423.763235515467	266.960293122483	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
12	270.066680908203	270.740921020508	338.170471191406	402.094299316406	417.411804199219	375.623268127441	433.426849365234	290.992218017578	447.97820051079	215.003024159538	427.518381105662	222.695308258777	421.161987304688	195.373992919922	389.073150634766	172.129547119141	366.820916870449	247.870056219923	400.238621898825	264.653221527354	416.299524920223	305.175486272554	422.696991144718	268.998436757153	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
13	269.811431884766	271.284927368164	338.330352783203	402.489059448242	417.564208984375	375.745803833008	433.357452392578	291.664413452148	447.97820051079	215.003024159538	427.518381105662	222.695308258777	421.350402832031	196.753356933594	389.476806640625	172.728210449219	364.092940949765	247.870056219923	400.920615878995	265.35252008183	416.299524920223	305.175486272554	423.763235515467	270.017508574489	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
14	269.701812744141	271.811828613281	338.456146240234	402.634155273438	417.440734863281	375.672729492188	432.974332947029	291.925865151929	447.97820051079	215.003024159538	427.518381105662	222.695308258777	419.334453343611	196.821261743155	388.644724235919	174.443707999914	362.046959009252	249.268653328876	398.874633938483	267.450415745259	416.299524920223	305.175486272554	423.763235515467	272.565188117827	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
15	269.580444335938	272.228713989258	338.606689453125	403.133499145508	417.764190673828	375.738372802734	432.974332947029	291.925865151929	447.97820051079	215.003024159538	427.518381105662	226.191801031159	419.334453343611	200.317754515536	387.280736275577	178.639499326772	357.273001148056	253.464444655734	396.82865199797	268.849012854212	419.49825803247	305.175486272554	422.696991144718	274.09379584383	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
16	269.52490234375	272.435241699219	338.808197021484	403.452362060547	417.832244873047	375.572578430176	432.974332947029	291.925865151929	447.97820051079	215.003024159538	426.836387125491	229.68829380354	417.288471403098	210.107934278204	384.552760354893	187.031081980487	355.227019207543	254.16374321021	396.82865199797	267.450415745259	419.49825803247	306.194558089889	424.296357700841	275.112867661165	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
17	269.498107910156	272.761932373047	338.853485107422	403.581466674805	417.949920654297	375.518432617188	432.974332947029	291.925865151929	447.97820051079	215.003024159538	425.472399165149	233.884085130398	414.560495482414	212.90512849611	379.778802493697	198.219858852108	344.315115524808	257.660235982591	396.82865199797	265.35252008183	420.564502403219	306.704093998557	425.895724256965	277.151011295835	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
18	269.448547363281	272.918991088867	339.105682373047	403.596588134766	418.254364013672	375.582092285156	432.974332947029	291.925865151929	447.97820051079	215.003024159538	423.426417224636	238.779175011732	411.150525581559	217.800218377443	377.050826573013	201.716351624489	340.905145623953	258.359534537068	398.192639958312	262.555325863925	420.564502403219	306.704093998557	426.961968627714	278.170083113171	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
19	269.402099609375	273.139526367188	338.990539550781	403.647430419922	418.255920410156	375.729667663574	432.974332947029	291.925865151929	449.342188471132	215.702322714015	423.426417224636	240.177772120684	408.422549660876	219.198815486396	375.0048446325	203.114948733442	340.223151643782	259.058833091544	401.632898990091	262.764379326526	419.49825803247	306.704093998557	426.961968627714	279.698690839173	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
20	269.312622070312	273.191925048828	338.990234375	403.718475341797	418.484649658203	375.645729064941	435.020314887542	292.625163706405	450.024182451303	215.702322714015	424.790405184978	240.177772120684	407.058561700534	219.198815486396	372.276868711816	205.912142951347	340.223151643782	259.058833091544	407.401512828098	262.062136357084	419.49825803247	306.194558089889	427.495090813089	283.265442199847	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
21	269.360168457031	273.313247680664	339.125061035156	403.829315185547	418.484161376953	375.711715698242	435.020314887542	292.625163706405	450.024182451303	215.702322714015	424.790405184978	240.177772120684	405.012579760021	218.49951693192	371.594874731645	208.010038614776	337.495175723099	257.660235982591	413.170126666106	260.657650418199	417.898891476346	305.685022181222	425.895724256965	282.755906291179	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
22	269.299377441406	273.497039794922	339.282318115234	404.012176513672	418.408020019531	375.83349609375	435.020314887542	292.625163706405	450.024182451303	215.702322714015	424.790405184978	240.177772120684	405.012579760021	218.49951693192	370.230886771303	208.010038614776	338.17716970327	258.359534537068	415.092997945442	258.550921509872	417.898891476346	305.685022181222	422.696991144718	282.755906291179	0	481	0	481	0	481	0	481	0	481	0	481	0	481	0	481
